"compound","sentence1","sentence2","sentence3"
"bankruptcy proceeding","the official receivers costs take priority over sums due to a trustee in the court cases .","geoffrey richmond was today the subject of court cases at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .","they are aware that funds / assets in the court cases cannot be made available for the payment of their fees ."
"black operation","on the one hand the cia acquired $ 4 billion for use in future secret operations .","israel has been running its own secret operations with the help of kurds it has trained .","lansdale ' s job was to provide "" actors "" for certain secret operations deployed by the covert operatives ."
"field work","research and practical archaeology are a particular focus .","the arbitrary removal of metal objects from the ground inevitably will jeopardise both present and future research .","he spent time on the island carrying out research for his book"
"marketing consultant","our Sales Advisors have many years experience in helping businesses market their products and services more effectively .","full account management service with an experienced web Sales Advisor to optimise the programme and maximise returns .","author of two books , she now works as a freelance writer and Sales Advisor and lives in dartington , devon ."
"box office","arguably the king of comedy for the last ten years , jim carrey is movie industry gold .","angel heart was a critical and movie industry success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .","as a movie , it would be forgettable , but the social furore has guaranteed movie industry buoyancy and discussion ."
"noise complaint","some of the protests i get relate to incoming planes .","however , in the absence of protests , it had to be concluded that there was no serious source of noise emanating from the premises .","the council ' s noise service investigate a wide range of protests from a variety of sources ."
"pipe dream","the party ' s vision of an independent , socialist scotland is fast becoming a unrealistic .","are these plans the unrealistic of self - aggrandising bureaucrats ?","the result is that whether you sleep on your back or your side , the ultimate night ' s sleep is no longer a unrealistic ."
"honey trap","by planting a local weed ( napier grass ) , pests are lured away from the corn into a lure .","prices are what you would expect in a tourist lure .","the son of the cabinet minister was at the centre of a cannabis lure ."
"acid test","on the fate of the acle straight within weeks . this is seen as an crucial appraisal of the government ' s commitment to protecting our most valuable environments ( 3 ) .","such markers ' whilst being ungodly even , unconverted underneath . the crucial appraisal of how i am spiritually is not those externals but the character - change worked by jesus",". they suggest a and having absorbed alcohol is concerned . wall street is kool - aid crucial appraisal life as an in the midst . with ethical problems institute author sells big new"
"case study","meeting this standard in their teaching , the analysis of , for example , video - based studies of pupils for whom english is an additional language or the preparation of resources might","cope . analysis of capacity issues in central government chapter 9 draws both on the studies and on wider information from interviews to identify the factors affecting capacity to manage water","high performing leader and demonstrates how to sustain competitive advantage in business . this unique study considers research into personal and management competencies , emotional intelligence , motivation and team dynamics"
